Place,Sponsor,Team,Size,Complexity,Method,Type,Score,Scaled Score,Prediction
precarious,precarious,precarious,grand,very complex,waterfall,Greenfield,14.65555556,0,precarious
precarious,precarious,precarious,grand,very complex,waterfall,Development with components,15.91851852,2.950337429,precarious
precarious,precarious,precarious,grand,very complex,waterfall,Customizing of bought solution,16.72222222,4.827824883,precarious
precarious,precarious,precarious,grand,very complex,waterfall,Modernisation,18.21481481,8.314587299,precarious
precarious,precarious,precarious,grand,very complex,agile,Greenfield,17.77037037,7.276345388,precarious
precarious,precarious,precarious,grand,very complex,agile,Development with components,19.03333333,10.22668282,precarious
precarious,precarious,precarious,grand,very complex,agile,Customizing of bought solution,19.83703704,12.10417027,precarious
precarious,precarious,precarious,grand,very complex,agile,Modernisation,21.32962963,15.59093269,precarious
precarious,precarious,precarious,grand,complex,waterfall,Greenfield,14.92222222,0.622945146,precarious
precarious,precarious,precarious,grand,complex,waterfall,Development with components,16.18518519,3.573282575,precarious
precarious,precarious,precarious,grand,complex,waterfall,Customizing of bought solution,16.98888889,5.450770029,precarious
precarious,precarious,precarious,grand,complex,waterfall,Modernisation,18.48148148,8.937532445,precarious
precarious,precarious,precarious,grand,complex,agile,Greenfield,18.03703704,7.899290535,precarious
precarious,precarious,precarious,grand,complex,agile,Development with components,19.3,10.84962796,precarious
precarious,precarious,precarious,grand,complex,agile,Customizing of bought solution,20.1037037,12.72711542,precarious
precarious,precarious,precarious,grand,complex,agile,Modernisation,21.5962963,16.21387783,precarious
precarious,precarious,precarious,grand,average,waterfall,Greenfield,16.25555556,3.737670877,precarious
precarious,precarious,precarious,grand,average,waterfall,Development with components,17.51851852,6.688008306,precarious
precarious,precarious,precarious,grand,average,waterfall,Customizing of bought solution,18.32222222,8.565495761,precarious
precarious,precarious,precarious,grand,average,waterfall,Modernisation,19.81481481,12.05225818,precarious
precarious,precarious,precarious,grand,average,agile,Greenfield,19.37037037,11.01401627,precarious
precarious,precarious,precarious,grand,average,agile,Development with components,20.63333333,13.96435369,precarious
precarious,precarious,precarious,grand,average,agile,Customizing of bought solution,21.43703704,15.84184115,precarious
precarious,precarious,precarious,grand,average,agile,Modernisation,22.92962963,19.32860356,precarious
precarious,precarious,precarious,grand,easy,waterfall,Greenfield,16.61111111,4.568264406,precarious
precarious,precarious,precarious,grand,easy,waterfall,Development with components,17.87407407,7.518601834,precarious
precarious,precarious,precarious,grand,easy,waterfall,Customizing of bought solution,18.67777778,9.396089289,precarious
precarious,precarious,precarious,grand,easy,waterfall,Modernisation,20.17037037,12.8828517,precarious
precarious,precarious,precarious,grand,easy,agile,Greenfield,19.72592593,11.84460979,precarious
precarious,precarious,precarious,grand,easy,agile,Development with components,20.98888889,14.79494722,precarious
precarious,precarious,precarious,grand,easy,agile,Customizing of bought solution,21.79259259,16.67243468,precarious
precarious,precarious,precarious,grand,easy,agile,Modernisation,23.28518519,20.15919709,precarious
precarious,precarious,precarious,grand,very easy,waterfall,Greenfield,16.78888889,4.98356117,precarious
precarious,precarious,precarious,grand,very easy,waterfall,Development with components,18.05185185,7.933898598,precarious
precarious,precarious,precarious,grand,very easy,waterfall,Customizing of bought solution,18.85555556,9.811386053,precarious
precarious,precarious,precarious,grand,very easy,waterfall,Modernisation,20.34814815,13.29814847,precarious
precarious,precarious,precarious,grand,very easy,agile,Greenfield,19.9037037,12.25990656,precarious
precarious,precarious,precarious,grand,very easy,agile,Development with components,21.16666667,15.21024399,precarious
precarious,precarious,precarious,grand,very easy,agile,Customizing of bought solution,21.97037037,17.08773144,precarious
precarious,precarious,precarious,grand,very easy,agile,Modernisation,23.46296296,20.57449386,precarious
precarious,precarious,precarious,large,very complex,waterfall,Greenfield,15.87777778,2.855165254,precarious
precarious,precarious,precarious,large,very complex,waterfall,Development with components,17.14074074,5.805502682,precarious
precarious,precarious,precarious,large,very complex,waterfall,Customizing of bought solution,17.94444444,7.682990137,precarious
precarious,precarious,precarious,large,very complex,waterfall,Modernisation,19.43703704,11.16975255,precarious
precarious,precarious,precarious,large,very complex,agile,Greenfield,18.99259259,10.13151064,precarious
precarious,precarious,precarious,large,very complex,agile,Development with components,20.25555556,13.08184807,precarious
precarious,precarious,precarious,large,very complex,agile,Customizing of bought solution,21.05925926,14.95933553,precarious
precarious,precarious,precarious,large,very complex,agile,Modernisation,22.55185185,18.44609794,precarious
precarious,precarious,precarious,large,complex,waterfall,Greenfield,16.14444444,3.4781104,precarious
precarious,precarious,precarious,large,complex,waterfall,Development with components,17.40740741,6.428447828,precarious
precarious,precarious,precarious,large,complex,waterfall,Customizing of bought solution,18.21111111,8.305935283,precarious
precarious,precarious,precarious,large,complex,waterfall,Modernisation,19.7037037,11.7926977,precarious
precarious,precarious,precarious,large,complex,agile,Greenfield,19.25925926,10.75445579,precarious
precarious,precarious,precarious,large,complex,agile,Development with components,20.52222222,13.70479322,precarious
